series_id,series_name,image,min_price,max_price,count,price,dealer_price
24670,ZEEKR 9X,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,46.59,59.99,12569,46.59-59.99万,46.59-59.99万
8858,银河E8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23f867eb96df470db106b433fa3d8c04~tplv-resize:640:0.png?psm=motor.rank.data,14.08,19.38,12538,14.08-19.38万,14.08-19.38万
9225,智界S7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/359534bbb4be4f79b4a5a63b8b839995~tplv-resize:640:0.png?psm=motor.rank.data,22.98,32.98,12178,22.98-32.98万,22.98-32.98万
25611,银河星耀6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/6f6a872539c44fa581f72589e311f1dd~tplv-resize:640:0.png?psm=motor.rank.data,6.88,9.98,8501,6.88-9.98万,6.88-9.98万
25682,零跑Lafa5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/eb3ed5d8c99f4ed390b03980847b91d8~tplv-resize:640:0.png?psm=motor.rank.data,9.28,11.68,8119,9.28-11.68万,9.28-11.68万
25485,沃尔沃XC70,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1b9bfebdc17a4047b765d59fad62c8fe~tplv-resize:640:0.png?psm=motor.rank.data,26.99,34.99,8111,26.99-34.99万,26.99-34.99万
5579,海豹,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d84891563f414575a52c8ee687f7a3ba~tplv-resize:640:0.png?psm=motor.rank.data,15.58,22.98,7662,15.58-22.98万,15.58-22.98万
25549,腾势N8L DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7914574483b74656b6eb5f3e75643043~tplv-resize:640:0.png?psm=motor.rank.data,29.98,32.98,6514,29.98-32.98万,29.98-32.98万
25600,至境L7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/84199f296dfd4e8eb71235d852f093c5~tplv-resize:640:0.png?psm=motor.rank.data,16.99,21.59,5232,16.99-21.59万,16.99-21.59万
25058,奥迪E5 Sportback,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/37b81ebeefd5406c9f7a3e8870c044b1~tplv-resize:640:0.png?psm=motor.rank.data,22.59,30.99,4794,22.59-30.99万,22.59-30.99万
4666,领克Z10,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/a4f37175a6984ab694dd1c61719667b3~tplv-resize:640:0.png?psm=motor.rank.data,18.68,28.28,4734,18.68-28.28万,18.68-28.28万
9436,风云T11,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/02ef0c5c98c34e6680acc0b9c0bd9f83~tplv-resize:640:0.png?psm=motor.rank.data,17.99,23.99,4499,17.99-23.99万,17.99-23.99万
25634,长安启源Q05,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d165339b96b94c7bb9f77369d17afdc1~tplv-resize:640:0.png?psm=motor.rank.data,7.49,10.49,1338,7.49-10.49万,7.49-10.49万
25636,日产N6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/806998923a104bdd8ca07df13ed0b80a~tplv-resize:640:0.png?psm=motor.rank.data,9.49,12.49,565,9.49-12.49万,9.49-12.49万
25139,海狮05EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b4d48c5965e84226ab38e0738c109391~tplv-resize:640:0.png?psm=motor.rank.data,11.48,14.59,97766,11.48-14.59万,9.78-14.59万
24800,AION RT,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/e4498fa3f2bc49edb665eb140215e62c~tplv-resize:640:0.png?psm=motor.rank.data,9.88,12.88,51354,9.88-12.88万,9.18-12.08万
